iter	Logloss
0	0.4630604577
1	0.3160188246
2	0.2257685716
3	0.1681161109
4	0.1394114825
5	0.1028803434
6	0.08354556274
7	0.07099796861
8	0.05869243261
9	0.04836652772
10	0.04340420425
11	0.03814627702
12	0.03239578136
13	0.02774623552
14	0.02445549394
15	0.02250801348
16	0.02073616433
17	0.01941109325
18	0.01799294207
19	0.01629354906
20	0.01474619034
21	0.01403301493
22	0.01276582678
23	0.01191793075
24	0.01145584047
25	0.01035247736
26	0.009615876617
27	0.009127283896
28	0.008581280711
29	0.008252523298
30	0.007575991515
31	0.007424944375
32	0.007216772364
33	0.006858100139
34	0.006341320113
35	0.006104335208
36	0.00592751994
37	0.005658287885
38	0.00553529852
39	0.005239599334
40	0.005060733752
41	0.004744066969
42	0.004612660757
43	0.004387882266
44	0.004333553917
45	0.004256646033
46	0.004161415709
47	0.003991654545
48	0.00394042281
49	0.003769488472
50	0.003686812112
51	0.003365946397
52	0.00334118877
53	0.003217447575
54	0.00313914819
55	0.002971673823
56	0.002910518462
57	0.002867245171
58	0.002823711074
59	0.002734132952
60	0.002709418142
61	0.002636729328
62	0.002602272176
63	0.00245892114
64	0.00242857682
65	0.002398331845
66	0.002253932305
67	0.002212349674
68	0.002155520031
69	0.00204421053
70	0.002018742237
71	0.002001132595
72	0.001955526843
73	0.001890093253
74	0.001803991406
75	0.001770019552
76	0.001750701234
77	0.001722619988
78	0.001722561342
79	0.001707150006
80	0.001685481293
81	0.001664016004
82	0.001647927417
83	0.001628409286
84	0.001628402846
85	0.001601633688
86	0.001578569325
87	0.001469383852
88	0.001452423519
89	0.001425188026
90	0.001372844845
91	0.001346185048
92	0.001316658462
93	0.001288115676
94	0.001244719036
95	0.00124472149
96	0.001211557906
97	0.001211564183
98	0.001211564183
99	0.001211558177
100	0.001155456728
101	0.001155456728
102	0.001134995751
103	0.001134995751
104	0.001134974124
105	0.001134974124
106	0.001109586388
107	0.001083951141
108	0.001083927915
109	0.001083927915
110	0.001083927915
111	0.001063813182
112	0.001063775702
113	0.001063775702
114	0.001040121561
115	0.001040121561
116	0.001028100969
117	0.001028098962
118	0.001028086301
119	0.001028098004
120	0.001028087013
121	0.001028089346
122	0.001028074085
123	0.001012733564
124	0.001012733564
125	0.001012706692
126	0.001012718185
127	0.001012727838
128	0.001012727838
129	0.001012725845
130	0.001012706532
131	0.0009987487611
132	0.0009987598986
133	0.0009987598986
134	0.0009987598986
135	0.000998751611
136	0.0009774163958
137	0.0009774163958
138	0.000977406438
139	0.000977406438
140	0.000977404749
141	0.0009774046833
142	0.0009774046833
143	0.000977384252
144	0.0009662223035
145	0.0009662223035
146	0.0009662175765
147	0.000966198657
148	0.000966203649
149	0.0009662083797
150	0.0009339527682
151	0.0009339450798
152	0.0009339276554
153	0.0009339276554
154	0.0009339352913
155	0.0009186314496
156	0.0009186314496
157	0.0009186103056
158	0.0009186108299
159	0.0009186203645
160	0.000918610373
161	0.000918610373
162	0.000918610373
163	0.0009186145711
164	0.0009185927081
165	0.0009186145823
166	0.0009186028635
167	0.0009185888911
168	0.0009186066684
169	0.0009185983434
170	0.0009185983434
171	0.0009186122858
172	0.0009186122858
173	0.0009185982731
174	0.0009186086953
175	0.0009186086953
176	0.0009185860037
177	0.0009185906746
178	0.000918594824
179	0.0009185830311
180	0.0009185830311
181	0.0009185830311
